# MU = distance modulus corrected for bias and contamination
# MUERR = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
#
VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 103327 50 0.01995 0.01995 34.89055 0.13170 0.07330 0.00646
SN: 94200 50 0.02209 0.02209 34.83914 0.12370 0.06630 0.00595
SN: 134697 50 0.02300 0.02300 35.07188 0.12510 0.06370 0.00589
SN: 44028 50 0.02482 0.02482 35.04405 0.12280 0.05910 0.00588
SN: 24325 50 0.02514 0.02514 35.30184 0.12960 0.05830 0.00624
SN: 10827 50 0.02563 0.02563 35.07772 0.12300 0.05720 0.00620
SN: 4686 50 0.02611 0.02611 35.33527 0.11970 0.05620 0.00731
SN: 48869 50 0.02629 0.02629 35.15330 0.11850 0.05580 0.00693
SN: 44566 50 0.02634 0.02634 35.19417 0.11990 0.05570 0.00730
SN: 106757 50 0.02639 0.02639 35.40078 0.11980 0.05560 0.00639
SN: 19642 50 0.02693 0.02693 35.29183 0.13830 0.05450 0.00620
SN: 107553 50 0.02768 0.02768 35.48642 0.11810 0.05310 0.00714
SN: 136646 50 0.02831 0.02831 35.38756 0.12150 0.05190 0.00823
SN: 122251 50 0.02892 0.02892 35.64333 0.12230 0.05080 0.00820
SN: 26066 50 0.02901 0.02901 35.25002 0.11760 0.05070 0.00586
SN: 41126 50 0.02917 0.02917 35.47181 0.12260 0.05040 0.00691
SN: 38011 50 0.02990 0.02990 35.52409 0.11360 0.04920 0.00616
SN: 5331 50 0.03023 0.03023 35.61398 0.11850 0.04860 0.00734
SN: 122963 50 0.03038 0.03038 35.51606 0.12780 0.04840 0.00576
SN: 123827 50 0.03058 0.03058 35.29466 0.12340 0.04810 0.00851
SN: 91803 50 0.03113 0.03113 35.66324 0.12940 0.04720 0.00959
SN: 113891 50 0.03127 0.03127 35.69221 0.11470 0.04700 0.00644
SN: 79204 50 0.03136 0.03136 35.74842 0.11980 0.04690 0.00593
SN: 75016 50 0.03171 0.03171 35.61777 0.11870 0.04640 0.00685
SN: 135698 50 0.03193 0.03193 35.60791 0.13190 0.04610 0.00710
SN: 101543 50 0.03199 0.03199 35.61110 0.11730 0.04600 0.00607
SN: 4277 50 0.03207 0.03207 36.01722 0.11790 0.04590 0.00914
SN: 115753 50 0.03327 0.03327 35.74849 0.11730 0.04430 0.01421
SN: 65354 50 0.03340 0.03340 35.77496 0.11260 0.04410 0.00622
SN: 103662 50 0.03359 0.03359 35.81962 0.12530 0.04380 0.00671
SN: 100668 50 0.03363 0.03363 36.03186 0.11890 0.04380 0.00844
SN: 36798 50 0.03395 0.03395 35.86436 0.11650 0.04340 0.00671
SN: 9994 50 0.03436 0.03436 35.85377 0.12390 0.04290 0.00721
SN: 115243 50 0.03444 0.03444 35.67910 0.11330 0.04280 0.00776
SN: 68095 50 0.03452 0.03452 35.87411 0.11820 0.04270 0.00761
SN: 4098 50 0.03483 0.03483 35.92080 0.10990 0.04230 0.00603
SN: 123157 50 0.03519 0.03519 35.77264 0.11520 0.04190 0.00600
SN: 54831 50 0.03537 0.03537 35.85527 0.12060 0.04170 0.00622
SN: 78793 50 0.03571 0.03571 35.97163 0.11360 0.04130 0.00594
SN: 101874 50 0.03583 0.03583 35.81527 0.12520 0.04110 0.00858
SN: 90800 50 0.03592 0.03592 35.80432 0.12940 0.04100 0.00713
SN: 76202 50 0.03603 0.03603 35.92091 0.11420 0.04090 0.00585
SN: 93155 50 0.03612 0.03612 36.00841 0.12140 0.04080 0.00987
SN: 114185 50 0.03639 0.03639 35.93630 0.11120 0.04050 0.00639
SN: 33067 50 0.03675 0.03675 36.17217 0.11660 0.04010 0.00632
SN: 42985 50 0.03680 0.03680 36.00110 0.11930 0.04010 0.00937
SN: 102768 50 0.03690 0.03690 36.27143 0.11740 0.04000 0.00811
SN: 102344 50 0.03691 0.03691 36.11591 0.11710 0.04000 0.00795
SN: 39040 50 0.03701 0.03701 36.14834 0.11830 0.03990 0.00573
SN: 57279 50 0.03710 0.03710 36.03291 0.11180 0.03980 0.00617
SN: 41506 50 0.03748 0.03748 36.05571 0.10750 0.03940 0.00636
SN: 24037 50 0.03787 0.03787 36.12588 0.11230 0.03900 0.00643
SN: 4716 50 0.03843 0.03843 36.06320 0.11090 0.03840 0.00590
SN: 8427 50 0.03846 0.03846 35.89718 0.18080 0.03840 0.00600
SN: 83790 50 0.03860 0.03860 36.09815 0.12830 0.03820 0.00717
SN: 77588 50 0.03864 0.03864 36.11838 0.12290 0.03820 0.00848
SN: 12966 50 0.03883 0.03883 36.31784 0.11320 0.03800 0.00605
SN: 24322 50 0.03914 0.03914 36.27059 0.17020 0.03770 0.00663
SN: 86213 50 0.03955 0.03955 36.26738 0.12970 0.03730 0.00706
SN: 9809 50 0.03974 0.03974 36.06858 0.11130 0.03720 0.01184
SN: 36223 50 0.03995 0.03995 36.25525 0.12170 0.03700 0.00730
SN: 98267 50 0.04005 0.04005 36.51435 0.11280 0.03690 0.00634
SN: 27438 50 0.04008 0.04008 36.35652 0.11140 0.03690 0.00881
SN: 36348 50 0.04039 0.04039 36.14017 0.10960 0.03660 0.00640
SN: 89892 50 0.04040 0.04040 36.15520 0.11000 0.03660 0.00613
SN: 63961 50 0.04072 0.04072 36.08170 0.14710 0.03630 0.00747
SN: 30490 50 0.04076 0.04076 36.48898 0.10810 0.03630 0.00623
SN: 99217 50 0.04094 0.04094 36.39060 0.11340 0.03610 0.00603
SN: 97807 50 0.04159 0.04159 36.09211 0.11020 0.03550 0.00651
SN: 62464 50 0.04182 0.04182 36.41113 0.11430 0.03530 0.03215
SN: 108699 50 0.04202 0.04202 36.44471 0.10920 0.03520 0.00637
SN: 76112 50 0.04205 0.04205 36.47601 0.11400 0.03520 0.00737
SN: 56707 50 0.04217 0.04217 36.25494 0.11310 0.03510 0.00728
SN: 13755 50 0.04223 0.04223 36.45358 0.11950 0.03500 0.00757
SN: 133738 50 0.04231 0.04231 36.43420 0.10990 0.03490 0.00670
SN: 88885 50 0.04241 0.04241 36.46132 0.12280 0.03490 0.00964
SN: 29833 50 0.04244 0.04244 36.33442 0.11570 0.03480 0.00838
SN: 7907 50 0.04257 0.04257 36.42267 0.10930 0.03470 0.00698
SN: 5851 50 0.04258 0.04258 36.29475 0.10960 0.03470 0.00643
SN: 132775 50 0.04263 0.04263 36.37683 0.10750 0.03470 0.00659
SN: 35105 50 0.04285 0.04285 36.36465 0.12940 0.03450 0.00697
SN: 45756 50 0.04304 0.04304 36.53652 0.10850 0.03440 0.00656
SN: 55367 50 0.04343 0.04343 36.58869 0.11710 0.03410 0.00658
SN: 54955 50 0.04356 0.04356 36.43785 0.10670 0.03400 0.00699
SN: 68530 50 0.04356 0.04356 36.27136 0.10900 0.03400 0.00678
SN: 127477 50 0.04357 0.04357 36.38307 0.11050 0.03400 0.00663
SN: 23024 50 0.04363 0.04363 36.52412 0.14180 0.03390 0.00700
SN: 6008 50 0.04395 0.04395 36.67592 0.11120 0.03370 0.00667
SN: 52138 50 0.04402 0.04402 36.42806 0.11530 0.03360 0.00667
SN: 125116 50 0.04420 0.04420 36.44587 0.12480 0.03350 0.00750
SN: 19164 50 0.04428 0.04428 36.60840 0.11030 0.03340 0.00667
SN: 125149 50 0.04462 0.04462 36.55714 0.11000 0.03320 0.00646
SN: 123938 50 0.04486 0.04486 36.69066 0.14880 0.03300 0.00634
SN: 47573 50 0.04504 0.04504 36.67104 0.11280 0.03290 0.00828
SN: 70166 50 0.04507 0.04507 36.33280 0.11160 0.03290 0.00697
SN: 77899 50 0.04515 0.04515 36.38292 0.11000 0.03280 0.00715
SN: 120586 50 0.04520 0.04520 36.46541 0.10950 0.03280 0.00778
SN: 2440 50 0.04522 0.04522 36.28188 0.10770 0.03270 0.00637
SN: 2178 50 0.04532 0.04532 36.62694 0.11230 0.03270 0.00657
SN: 51060 50 0.04538 0.04538 36.43231 0.11350 0.03260 0.00873
SN: 82624 50 0.04551 0.04551 36.56451 0.10830 0.03250 0.00670
SN: 70027 50 0.04558 0.04558 36.51989 0.10920 0.03250 0.00608
SN: 10764 50 0.04568 0.04568 36.43368 0.10930 0.03240 0.00710
SN: 30673 50 0.04572 0.04572 36.56758 0.10730 0.03240 0.00636
SN: 96858 50 0.04577 0.04577 36.44164 0.10700 0.03240 0.00659
SN: 65631 50 0.04580 0.04580 36.65414 0.11040 0.03230 0.00646
SN: 34305 50 0.04614 0.04614 36.78141 0.10810 0.03210 0.00653
SN: 44974 50 0.04635 0.04635 36.76068 0.11640 0.03200 0.00819
SN: 63341 50 0.04741 0.04741 36.62591 0.10950 0.03130 0.00612
