# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
#
zCMB zHEL MU MUERR MUERR_SYS
0.04131 0.04131 36.31666 0.00969 0.00674
0.06876 0.06876 37.44798 0.00541 0.00627
0.13121 0.13121 38.94492 0.01969 0.00868
0.18499 0.18499 39.75545 0.01338 0.00658
0.24503 0.24503 40.42469 0.01068 0.00590
0.31077 0.31077 41.02587 0.00828 0.00357
0.38392 0.38392 41.57029 0.00722 0.00395
0.46752 0.46752 42.07812 0.00579 0.00275
0.55669 0.55669 42.52332 0.00521 0.00300
0.66538 0.66538 43.00440 0.00488 0.00226
0.78147 0.78147 43.41770 0.00469 0.00342
0.92328 0.92328 43.86777 0.00502 0.00361
1.08255 1.08255 44.30297 0.00665 0.00431
1.24447 1.24447 44.66917 0.01137 0.00850
