# MU  = distance modulus corrected for bias and contamination
# MUERR  = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
#
zCMB zHEL MU MUERR MUERR_SYS
0.04131 0.04131 36.31971 0.00971 0.00519
0.06876 0.06876 37.45100 0.00543 0.00472
0.13122 0.13122 38.94832 0.01975 0.00693
0.18497 0.18497 39.75852 0.01344 0.00485
0.24504 0.24504 40.42786 0.01072 0.00437
0.31077 0.31077 41.02887 0.00831 0.00353
0.38363 0.38363 41.56999 0.00742 0.00304
0.46589 0.46589 42.07172 0.00643 0.00217
0.55252 0.55252 42.50989 0.00640 0.00279
0.66210 0.66210 42.99378 0.00740 0.00274
0.77427 0.77427 43.39331 0.00896 0.00387
0.91088 0.91088 43.81842 0.01826 0.00635
1.04616 1.04616 44.22938 0.04258 0.01621
