# MU = distance modulus corrected for bias and contamination
# MUERR = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 0  # flag for cosmology fitter to choose blind option # 5785
zCMB zHEL MU MUERR MUERR_SYS
1.987999999999999837e-02 1.987999999999999837e-02 3.484680000000000177e+01 1.320000000000000062e-01 7.960000000000000062e-03
2.321000000000000146e-02 2.321000000000000146e-02 3.489862999999999715e+01 1.550999999999999879e-01 7.199999999999999803e-03
2.364000000000000129e-02 2.364000000000000129e-02 3.528914999999999935e+01 1.242999999999999938e-01 7.709999999999999840e-03
2.469999999999999973e-02 2.469999999999999973e-02 3.511988000000000198e+01 1.444000000000000006e-01 7.170000000000000158e-03
2.470999999999999933e-02 2.470999999999999933e-02 3.519346999999999781e+01 1.232000000000000040e-01 7.020000000000000198e-03
2.483000000000000138e-02 2.483000000000000138e-02 3.511272999999999911e+01 1.205999999999999989e-01 7.270000000000000420e-03
2.528999999999999998e-02 2.528999999999999998e-02 3.517625000000000313e+01 1.269000000000000128e-01 7.340000000000000170e-03
2.529999999999999957e-02 2.529999999999999957e-02 3.518885999999999825e+01 1.292999999999999983e-01 7.320000000000000118e-03
2.540999999999999856e-02 2.540999999999999856e-02 3.509582000000000335e+01 1.418999999999999984e-01 7.130000000000000053e-03
2.547999999999999918e-02 2.547999999999999918e-02 3.541667999999999950e+01 1.213000000000000050e-01 6.960000000000000041e-03
2.598999999999999921e-02 2.598999999999999921e-02 3.536323000000000150e+01 1.213000000000000050e-01 7.479999999999999670e-03
2.605000000000000024e-02 2.605000000000000024e-02 3.529115000000000180e+01 1.317000000000000115e-01 7.300000000000000065e-03
2.617999999999999841e-02 2.617999999999999841e-02 3.544158000000000186e+01 1.189999999999999947e-01 6.949999999999999581e-03
2.619000000000000147e-02 2.619000000000000147e-02 3.528020000000000067e+01 1.195999999999999980e-01 6.649999999999999661e-03
2.682000000000000009e-02 2.682000000000000009e-02 3.544275999999999982e+01 1.233000000000000068e-01 6.949999999999999581e-03
2.690000000000000030e-02 2.690000000000000030e-02 3.534425000000000239e+01 1.496000000000000107e-01 7.280000000000000013e-03
2.741000000000000034e-02 2.741000000000000034e-02 3.536373999999999995e+01 1.237999999999999934e-01 6.819999999999999674e-03
2.744999999999999871e-02 2.744999999999999871e-02 3.524152999999999736e+01 1.179999999999999938e-01 7.069999999999999896e-03
2.751999999999999932e-02 2.751999999999999932e-02 3.532862999999999687e+01 1.184000000000000052e-01 7.889999999999999444e-03
2.833000000000000101e-02 2.833000000000000101e-02 3.549779000000000195e+01 1.176999999999999991e-01 6.910000000000000343e-03
2.840000000000000163e-02 2.840000000000000163e-02 3.553782999999999959e+01 1.197000000000000008e-01 7.409999999999999920e-03
2.844999999999999959e-02 2.844999999999999959e-02 3.554505000000000337e+01 1.170999999999999958e-01 6.910000000000000343e-03
2.892000000000000126e-02 2.892000000000000126e-02 3.567137999999999920e+01 1.524999999999999967e-01 7.499999999999999722e-03
3.160999999999999921e-02 3.160999999999999921e-02 3.558890000000000242e+01 1.280999999999999917e-01 7.579999999999999932e-03
3.191000000000000086e-02 3.191000000000000086e-02 3.576162999999999670e+01 1.192000000000000004e-01 7.519999999999999775e-03
3.266000000000000153e-02 3.266000000000000153e-02 3.584165999999999741e+01 1.163000000000000006e-01 7.199999999999999803e-03
3.302000000000000074e-02 3.302000000000000074e-02 3.588976999999999862e+01 1.147999999999999993e-01 6.899999999999999883e-03
3.307000000000000217e-02 3.307000000000000217e-02 3.593641000000000219e+01 1.293999999999999873e-01 6.830000000000000134e-03
3.336000000000000076e-02 3.336000000000000076e-02 3.610674999999999812e+01 1.701000000000000012e-01 7.190000000000000210e-03
3.363000000000000017e-02 3.363000000000000017e-02 3.603638999999999726e+01 1.145999999999999935e-01 7.349999999999999763e-03
3.371999999999999997e-02 3.371999999999999997e-02 3.599779000000000195e+01 1.610000000000000042e-01 6.769999999999999976e-03
3.456000000000000044e-02 3.456000000000000044e-02 3.579446999999999690e+01 1.146999999999999964e-01 6.919999999999999936e-03
3.472000000000000086e-02 3.472000000000000086e-02 3.586840000000000117e+01 1.144000000000000017e-01 6.769999999999999976e-03
3.479000000000000148e-02 3.479000000000000148e-02 3.610580000000000211e+01 1.123999999999999999e-01 7.089999999999999948e-03
3.511999999999999844e-02 3.511999999999999844e-02 3.588248000000000104e+01 1.419999999999999873e-01 7.009999999999999738e-03
3.568999999999999950e-02 3.568999999999999950e-02 3.582106999999999886e+01 1.137999999999999984e-01 7.219999999999999855e-03
3.602999999999999953e-02 3.602999999999999953e-02 3.602219000000000193e+01 1.147999999999999993e-01 7.300000000000000065e-03
3.618999999999999995e-02 3.618999999999999995e-02 3.590639999999999787e+01 1.131000000000000061e-01 7.280000000000000013e-03
3.638999999999999874e-02 3.638999999999999874e-02 3.599647000000000219e+01 1.151999999999999968e-01 7.459999999999999618e-03
3.647999999999999854e-02 3.647999999999999854e-02 3.596744000000000341e+01 1.207000000000000017e-01 7.150000000000000105e-03
3.663000000000000284e-02 3.663000000000000284e-02 3.587107999999999919e+01 1.171999999999999986e-01 7.340000000000000170e-03
3.751000000000000167e-02 3.751000000000000167e-02 3.607316000000000145e+01 1.111000000000000043e-01 7.029999999999999791e-03
3.755000000000000004e-02 3.755000000000000004e-02 3.607822000000000173e+01 1.436999999999999944e-01 7.300000000000000065e-03
3.805999999999999661e-02 3.805999999999999661e-02 3.626037999999999784e+01 1.169000000000000039e-01 6.819999999999999674e-03
3.833000000000000296e-02 3.833000000000000296e-02 3.622672000000000025e+01 1.155999999999999944e-01 7.139999999999999646e-03
3.835999999999999827e-02 3.835999999999999827e-02 3.612901999999999703e+01 1.134000000000000008e-01 7.259999999999999960e-03
3.846000000000000113e-02 3.846000000000000113e-02 3.610481999999999658e+01 1.158000000000000002e-01 7.029999999999999791e-03
3.876000000000000278e-02 3.876000000000000278e-02 3.621831999999999852e+01 1.113999999999999990e-01 6.640000000000000069e-03
3.876999999999999891e-02 3.876999999999999891e-02 3.608563999999999794e+01 1.190999999999999975e-01 6.519999999999999754e-03
3.905999999999999750e-02 3.905999999999999750e-02 3.614229000000000269e+01 1.166999999999999982e-01 6.490000000000000109e-03
3.914999999999999730e-02 3.914999999999999730e-02 3.611843999999999966e+01 1.142999999999999988e-01 6.499999999999999702e-03
